hook,naam_a,reden_a,label_a,waarde_a,naam_b,reden_b,label_b,waarde_b,payoff,url
Lanzarote of Fuerteventura: welk Canarisch eiland past bij jullie?,Lanzarote,voor vulkaanlandschap en kunst — als jullie beschutte baaien willen,Sfeer,"Artistiek, rustig, goed bewaard",Fuerteventura,voor de langste zandstranden — voor windsurfen en ruimte,Sfeer,"Ruig, leeg, surfers-vibe","Kies Lanzarote als jullie een bijzonder vulkanisch landschap, kunst en beschutte baaien willen.",kiespret.nl/gids/eilanden/lanzarote-of-fuerteventura/
Mallorca of Menorca: welk Balearen-eiland past bij jullie?,Mallorca,"voor Palma, Tramuntana en veelzijdigheid — als jullie ook stadse sfeer willen",Grootte,Groot (3.640 km²) — veel te verkennen,Menorca,voor ongerepte calas en stilte — als jullie het liefst ontsnappen aan drukte,Grootte,Compact (696 km²) — alles bereikbaar,"Kies Mallorca als jullie een veelzijdig eiland willen met bergen, stadse sfeer in Palma, en meer keuze in…",kiespret.nl/gids/eilanden/mallorca-of-menorca/
Malta of Cyprus: welk eiland past bij jullie?,Malta,"voor Valletta, tempels en compacte cultuurvakantie — als jullie 4-5 dagen hebben",Vliegduur,±3u vanuit Schiphol,Cyprus,voor betere stranden en een langer seizoen — als jullie een week of meer willen,Vliegduur,"±4,5u vanuit Schiphol","Kies Malta als jullie een compact eiland willen vol geschiedenis, imposante steden en een unieke sfeer.",kiespret.nl/gids/eilanden/malta-of-cyprus/
Sicilië of Sardinië: welk Italiaans eiland past bij jullie?,Sicilië,als jullie cultuur + eten willen — als budget belangrijk is,Vliegduur,±3u vanuit Schiphol (Catania),Sardinië,als jullie strand + rust willen — als jullie de helderste baaien willen,Vliegduur,"±2,5u vanuit Schiphol (Cagliari/Olbia)","Kies Sicilië als jullie van cultuur, lekker eten en levendigheid houden.",kiespret.nl/gids/eilanden/sicilie-of-sardinie/
Tenerife of Gran Canaria: welk Canarisch eiland past bij jullie?,Gran Canaria,voor de beste zandstranden — als budget belangrijk is,Prijs,"Iets goedkoper, meer budgetopties",Tenerife,voor natuur en avontuur — voor walvissen spotten en sterren kijken,Prijs,Iets duurder (10-15%),Kies Gran Canaria als jullie de mooiste zandstranden en een compacter eiland willen.,kiespret.nl/gids/eilanden/tenerife-of-gran-canaria/
Griekenland of Italië: welk land past beter bij jullie?,Griekenland,voor eilandhoppen en turquoise water — als jullie rust en romantiek zoeken,Vliegduur,"2,5–3,5 uur, seizoensgebonden",Italië,voor wereldklasse eten en road-trippen — als jullie cultuur en variatie willen,Vliegduur,"2–3 uur, het hele jaar vluchten","Kies Griekenland voor eilandhoppen, relaxte taverna-avonden en een voordeliger budget.",kiespret.nl/gids/griekenland-of-italie/
Corfu of Zakynthos: welk Grieks eiland past bij jullie?,Corfu,"voor cultuur, groene bergen en Venetiaanse sfeer",Grootte,Groter (593 km²) — meer te ontdekken,Zakynthos,"voor kliffen, grotten en schildpadden",Grootte,Kleiner (406 km²) — overzichtelijk,"Kies Corfu als jullie een veelzijdig eiland willen met Venetiaanse architectuur, gevarieerde kusten en een…",kiespret.nl/gids/griekenland/corfu-of-zakynthos/
Kos of Kreta: klein eilandgevoel of groot Grieks avontuur?,Kos,"voor rust, fietsen en zandstranden",Grootte,Compact (290 km²),Kreta,"voor kloven, Chania en Kretenzische keuken",Grootte,Enorm (8.336 km²) — bijna 30x Kos,"Kies Kos als jullie een rustig, klein eiland willen waar je alles op de fiets bereikt.",kiespret.nl/gids/griekenland/kos-of-kreta/
Kos of Rhodos: welk Grieks eiland past bij jullie?,Kos,"voor rust, fietsen en ondiep strandwater — als jullie een compact eiland willen",Grootte,Compact (290 km²) — alles dichtbij,Rhodos,"voor cultuur, Lindos en meer variatie — als jullie ook willen uitgaan",Grootte,Bijna 5x zo groot (1.401 km²),"Kies Kos als jullie een kleiner, rustiger eiland willen met mooie zandstranden en een ontspannen sfeer.",kiespret.nl/gids/griekenland/kos-of-rhodos/
Kreta of Rhodos: welk Grieks eiland past bij jullie?,Kreta,"voor eten, afgelegen stranden en ruimte — als jullie een week willen roadtrippen",Grootte,Circa 6x groter — veel te ontdekken…,Rhodos,voor middeleeuwse stad en Lindos — als jullie alles dichtbij willen,Grootte,"Compact — alles binnen 1-1,5 uur rijden","Kies Kreta als jullie een groot eiland willen met de beste Griekse keuken, afgelegen stranden en bergdorpjes.",kiespret.nl/gids/griekenland/kreta-of-rhodos/
Lefkada of Kefalonia: welk Ionisch eiland past bij jullie?,Lefkada,voor Porto Katsiki en Caribisch-blauwe baaien,Grootte,Compact (303 km2) -- makkelijk rond te rijden,Kefalonia,voor Myrtos Beach en Melissani-grot,Grootte,Groter (773 km2) -- huurauto nodig,"Kies Lefkada als jullie spectaculaire witte stranden willen met Caribische kleuren, makkelijke bereikbaarheid…",kiespret.nl/gids/griekenland/lefkada-of-kefalonia/
Naxos of Paros: welk Cycladen-eiland past bij jullie?,Naxos,voor eindeloze zandstranden en bergdorpjes,Grootte,Groot (430 km²) — huurauto nodig,Paros,voor Naoussa en bruisende havens,Grootte,Compact (196 km²) — bus of scooter,"Kies Naxos als jullie grotere stranden, bergdorpjes en meer ruimte willen.",kiespret.nl/gids/griekenland/naxos-of-paros/
Rhodos of Zakynthos: welk Grieks eiland past bij jullie?,Rhodos,voor middeleeuwse stad en lange zandstranden,Vliegduur,"±3,5u vanuit Schiphol",Zakynthos,"voor kliffen, grotten en zeeschildpadden",Vliegduur,±3u vanuit Schiphol,"Kies Rhodos als jullie cultuur, geschiedenis en stadssfeer willen combineren met strandvakantie.",kiespret.nl/gids/griekenland/rhodos-of-zakynthos/
Hurghada of Sharm el Sheikh?,Hurghada,voor uitgaan buiten het resort — als jullie meer stadsleven willen,Bereikbaarheid,"~5 uur vliegen, meer directe vluchten",Sharm el Sheikh,voor het beste snorkelen — voor luxere resorts,Bereikbaarheid,"~5 uur vliegen, minder frequente vluchten","Kies Hurghada als jullie een levendigere badplaats willen met meer winkels, restaurants en…",kiespret.nl/gids/hurghada-of-sharm-el-sheikh/
Kroatië of Griekenland: welk land past beter bij jullie?,Kroatië,voor spectaculaire kustdorpen en oude steden,Kosten,"€120-200/dag als koppel, vergelijkbaar",Griekenland,voor eilandhoppen en warmere zee,Kosten,"€110-190/dag als koppel, vergelijkbaar","Kies Kroatië voor spectaculaire kustdorpen, autovakantie-mogelijkheden en een combinatie van cultuur en…",kiespret.nl/gids/kroatie-of-griekenland/
Kroatië of Italië: welk land past beter bij jullie?,Kroatië,voor helder water en betaalbare konoba's,Kosten,"€120-200/dag, 20-30% goedkoper",Italië,voor wereldklasse eten en meer cultuur,Kosten,"€150-250/dag, duurder eten en accommodatie","Kies Kroatië voor betaalbaarheid, helder water en rustiger toerisme.",kiespret.nl/gids/kroatie-of-italie/
Kroatië of Montenegro: welk Adriatisch land past beter bij jullie?,Kroatië,"jullie gemak en keuze belangrijk vinden, direct willen vliegen en een breed aanbod…",Prijs,Middensegment (€120-200/dag als koppel),Montenegro,"jullie budget en avontuur willen, minder toeristen belangrijk vinden en een compact…",Prijs,25-40% goedkoper (€80-140/dag als koppel),"Kies Kroatië voor eilandhoppen, directe vluchten en meer toeristische infrastructuur.",kiespret.nl/gids/kroatie-of-montenegro/
Kroatië of Spanje: welk land past beter bij jullie?,Kroatië,voor authentieke kustdorpen en helder water,Met de auto,"±13 uur, prima roadtrip",Spanje,voor brede zandstranden en nachtleven,Met de auto,"17+ uur, niet realistisch","Kies Kroatië voor authenticiteit, spectaculaire oude steden en ongerepte natuur.",kiespret.nl/gids/kroatie-of-spanje/
Istrië of Dalmatië: welke Kroatische regio past bij jullie?,Istrië,"voor truffels, wijn en een rustiger tempo — als jullie met de auto komen",Kosten,€100-170/dag als koppel,Dalmatië,voor eilanden en spectaculaire steden — als jullie Game of Thrones-sfeer willen,Kosten,€120-200/dag als koppel,"Kies Istrië voor een rustige autovakantie met goed eten, truffels en wijn.",kiespret.nl/gids/kroatie/istrie-of-dalmatie/
Split of Zadar: welke Dalmatische stad past bij jullie?,Split,voor nachtleven en eilandhoppen,Kosten,€130-200/dag als koppel,Zadar,voor rust en de mooiste zonsondergangen,Kosten,€110-170/dag als koppel,"Kies Split voor meer nachtleven, eilandhoppen naar Hvar en Brač, en een groter Romeins erfgoed.",kiespret.nl/gids/kroatie/split-of-zadar/
Kotor of Budva: welke Montenegrijnse bestemming past bij jullie?,Kotor,voor de UNESCO-stad en de beklimming naar de vesting,Bereikbaarheid,30 min vanaf Tivat; vanuit NL…,Budva,voor zandstranden en beachbars,Bereikbaarheid,20 min vanaf Tivat; vanuit NL…,"Kies Kotor als jullie cultuur, geschiedenis en spectaculaire natuur zoeken.",kiespret.nl/gids/montenegro/kotor-of-budva/
Montenegro of Albanië?,Montenegro,"jullie comfort, fotogenieke stadjes en fjorden verkiezen boven de allerlaagste prijs",Prijs,Budget-vriendelijk; diner voor twee ca.…,Albanië,"jullie het rauwste avontuur willen, de mooiste stranden zoeken en budget maximaal…",Prijs,Zeer goedkoop; diner voor twee ca. 15-28 euro,"Montenegro voor fotogenieke fjorden, compacte oude stadjes en iets meer comfort.",kiespret.nl/gids/montenegro/montenegro-of-albanie/
Montenegro of Griekenland?,Montenegro,voor lagere prijzen en minder toeristen,Prijs,25-40% goedkoper (€80-140/dag als koppel),Griekenland,voor eilandhoppen en groter aanbod,Prijs,Middensegment (€110-180/dag als koppel),"Kies Montenegro als jullie budget belangrijk vinden, drukte willen vermijden en een compacte vakantie zoeken.",kiespret.nl/gids/montenegro/montenegro-of-griekenland/
Montenegro of Kroatië?,Montenegro,"jullie budget + avontuur willen, minder toeristen belangrijk vinden en een rauwere…",Prijs,Indicatief 30-40% goedkoper; diner voor twee…,Kroatië,"jullie gemak en keuze belangrijk vinden, direct willen vliegen en een gelikte…",Prijs,"Duurder, vergelijkbaar met Spanje/Italië…","Montenegro voor budget, avontuur en minder toeristen.",kiespret.nl/gids/montenegro/montenegro-of-kroatie/
Spanje of Griekenland: welk land past beter bij jullie?,Spanje,voor eiland + stadscombinatie — als jullie van nachtleven houden,Prijs,"€110-200/dag, vluchten vaak goedkoper",Griekenland,voor puur eilandgevoel — als jullie rust en authentiek zoeken,Prijs,"€100-180/dag, eten en drinken voordeliger","Kies Spanje voor eiland-plus-stadcombinaties, nachtleven en een langer seizoen.",kiespret.nl/gids/spanje-of-griekenland/
Spanje of Turkije: welk land past beter bij jullie?,Turkije,voor all inclusive budgetzekerheid,Bereikbaarheid,"3,5-4u, directe vluchten",Spanje,voor eilandvariatie en cultuur,Bereikbaarheid,"2-4u, veel budget airlines",Kies Turkije voor all inclusive budgetzekerheid en resortcomfort.,kiespret.nl/gids/spanje-of-turkije/
Turkije of Egypte: welk land past beter bij jullie?,Turkije,voor Europees comfort en meer buiten het resort,Vliegtijd,"3,5-4 uur",Egypte,"voor Rode Zee, snorkelen en exotiek",Vliegtijd,"5-5,5 uur","Kies Turkije voor een comfortabele, Europees aandoende all-inclusive vakantie met meer bezienswaardigheden…",kiespret.nl/gids/turkije-of-egypte/
Turkije of Griekenland: welk land past beter bij jullie?,Turkije,voor all inclusive en budgetzekerheid,Bereikbaarheid,"3,5-4u, directe vluchten",Griekenland,voor eilandsfeer en authentieke taverna's,Bereikbaarheid,"3-3,5u, directe vluchten naar grotere…","Kies Turkije voor budgetzekerheid, all inclusive comfort en gegarandeerd warm weer.",kiespret.nl/gids/turkije-of-griekenland/
Antalya of Side: grote stad of compact strandresort?,Antalya,"voor stad, cultuur en Kaleici — als jullie winkelen en uitgaan willen",Transfer,15 min vanaf Antalya Airport,Side,voor compact strandresort met ruines — als jullie rust en loopbaarheid zoeken,Transfer,1u15 vanaf Antalya Airport,"Kies Antalya voor een stadsvakantie met cultuur, winkelen en een levendig oud centrum.",kiespret.nl/gids/turkije/antalya-of-side/
Bodrum of Antalya: Egeïsche kust of Mediterrane stad?,Bodrum,"voor beachclubs, zeilen en Egeïsche sfeer",Vliegtijd,"±3,5u naar Bodrum-Milas Airport",Antalya,"voor stad, cultuur en all inclusive",Vliegtijd,±4u naar Antalya Airport,"Kies Bodrum voor een sfeervolle kustplaats met beachclubs, zeilen en een meer Grieks aandoende sfeer.",kiespret.nl/gids/turkije/bodrum-of-antalya/
Side of Alanya: welke Turkse resortplaats past bij jullie?,Side,voor Romeinse ruines naast het strand — als jullie compact en loopbaar willen,Vliegtijd,±4u + 1u15 transfer vanaf Antalya,Alanya,voor Cleopatra Beach en stadssfeer — als jullie meer avondleven zoeken,Vliegtijd,±4u + 2u via Antalya óf 45 min via Gazipaşa…,"Kies Side voor een compact, historisch strandresort met korte loopafstanden en mooie ruines.",kiespret.nl/gids/turkije/side-of-alanya/
